,name,films,tv_shows,short_films,allies,enemies,park_attractions,films_count,tv_shows_count,short_films_count,park_attractions_count,enemies_count,allies_count
0,Achilles,['Hercules (film)'],['Hercules (TV series)'],,,,,1,1,0,0,0,0
1,Abigail the Cow,"['The Fox and the Hound', 'The Fox and the Hound 2']",,,,,,2,0,0,0,0,0
2,Abdullah,['Cheetah'],,,,,,1,0,0,0,0,0
3,Admiral Boom and Mr. Binnacle,"['Mary Poppins (film)', 'Mary Poppins Returns']",,,,,,2,0,0,0,0,0
4,.GIFfany,,['Gravity Falls'],,,,,0,1,0,0,0,0
5,90's Adventure Bear,,['Pickle and Peanut'],,,,,0,1,0,0,0,0
6,Candace Adams,,['K.C. Undercover'],,,,,0,1,0,0,0,0
7,Ahadi,"['The Lion King', 'The Lion King (2019 film)']",,,,,,2,0,0,0,0,0
8,Al Muddy Sultan,,['Aladdin (TV series)'],,,,,0,1,0,0,0,0
9,Irwina Allen,,"[""Chip 'n Dale Rescue Rangers""]",,,,,0,1,0,0,0,0
10,Ambrose,"['The Robber Kitten', ""Mickey's Polo Team""]",,,,,,2,0,0,0,0,0
11,Amos,['Ben and Me'],,,,,,1,0,0,0,0,0
12,Arabella,,,,,,,0,0,0,0,0,0
13,Arabella Smith,,,,,,['Tortuga Tavern'],0,0,0,1,0,0
14,Queen Ariel,,['DuckTales'],,,,,0,1,0,0,0,0
15,Arthur and Cecil,,['Jungle Cubs'],,,,,0,1,0,0,0,0
16,Fiona Ashbury,,['Fillmore!'],,,,,0,1,0,0,0,0
17,Ashcan and Pete,['Homeward Bound II: Lost in San Francisco'],,,,,,1,0,0,0,0,0
18,Aspen,['Bedtime Stories'],,,,,,1,0,0,0,0,0
19,Astuto,,['The Lion Guard'],,,,,0,1,0,0,0,0
20,Athena,['Tomorrowland (film)'],,,,,,1,0,0,0,0,0
21,Aunt Em,['Return to Oz'],['Once Upon a Time'],,,,,1,1,0,0,0,0
22,Aviarius,,['Kim Possible'],,,,,0,1,0,0,0,0
23,Prince Axel,,,,,,,0,0,0,0,0,0
24,Butter Otter,,['PB&J Otter'],,,,,0,1,0,0,0,0
25,Baby Panda,,['Timon & Pumbaa'],,,,,0,1,0,0,0,0
26,Marta Balatico,,['Mackenzie Falls'],,,,,0,1,0,0,0,0
27,Mr. Baldwin,,['Fish Hooks'],,,,,0,1,0,0,0,0
28,Baloo,"['The Jungle Book', 'The Jungle Book 2', ""Rudyard Kipling's The Jungle Book"", ""The Jungle Book: Mowgli's Story"", ""Mickey's Magical Christmas: Snowed in at the House of Mouse"", ""Mickey's House of Villains"", 'The Lion King 1½', 'Meet the Robinsons', 'The Jungle Book (2016 film)']","['The Mouse Factory', 'TaleSpin', 'Raw Toonage', 'Aladdin (TV series)', 'Jungle Cubs', 'House of Mouse', 'DuckTales (2017 series)']",,,,"['The Disney Afternoon Live!: Plane Crazy', ""Mickey's Magical TV World"", 'Fantasmic!', ""It's a Small World"", 'Mickey Mouse Revue', 'Celebrate a Dreams Come True Parade', ""Mickey's Jammin' Jungle Parade"", ""Mickey's Jingle Jungle Parade"", 'Disney Stars and Motorcars Parade', 'Parade of the Stars', 'World of Color', 'Mickey and the Wondrous Book', ""La Forêt de l'Enchantement: Une aventure musicale Disney"", 'Happily Ever After (fireworks show)']",9,7,0,14,0,0
29,Michael Banks,"['Mary Poppins (film)', 'Mary Poppins Returns']",,,,,,2,0,0,0,0,0
30,Banshee,,"[""Chip 'n Dale Rescue Rangers""]",,,,,0,1,0,0,0,0
31,Baron Blitz,,['Teamo Supremo'],,,,,0,1,0,0,0,0
32,Sir Bart,['The Sword in the Stone'],,,,,,1,0,0,0,0,0
33,Bernice Beachmont,,['Fillmore!'],,,,,0,1,0,0,0,0
34,Beardini the Pirate Magician,,['Jake and the Never Land Pirates'],,,,,0,1,0,0,0,0
35,Beheaded Knight,['The Haunted Mansion (film)'],,,,,['The Haunted Mansion'],1,0,0,1,0,0
36,Alan Coleman,['Freaky Friday (2003 film)'],,,,,,1,0,0,0,0,0
37,Alma,,['Doc McStuffins'],,,,,0,1,0,0,0,0
38,Captain Amelia,['Treasure Planet'],,,,,,1,0,0,0,0,0
39,Amelia Duckworth,,,,,,,0,0,0,0,0,0
40,Captain Anderson,['The Cat from Outer Space'],,,,,,1,0,0,0,0,0
41,Erica Ange,,,,,,,0,0,0,0,0,0
42,Angela,,['Fish Hooks'],,,,,0,1,0,0,0,0
43,Anthony Biddle,['The Happiest Millionaire'],,,,,,1,0,0,0,0,0
44,Apaches,['Savage Sam'],,,,,,1,0,0,0,0,0
45,Apothecary Gary,,['Amphibia'],,,,,0,1,0,0,0,0
